Age,Sex,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
20,Male,5,10,12,14,18,23,27,35,50,60,90
25,Male,0,15,25,35,45,55,65,75,85,95,100
30,Male,0,20,30,40,50,60,70,80,90,100,100
35,Male,0,25,35,45,55,65,75,85,95,97,100
40,Male,0,30,40,50,60,70,80,84,88,90,100
45,Male,0,35,45,55,65,75,85,87,89,90,100
20,Female,0,40,44,48,52,55,60,61,62,63,64
25,Female,0,45,55,65,75,85,95,105,115,125,135
30,Female,0,50,60,70,80,90,100,110,120,130,140
35,Female,0,55,65,75,85,95,105,115,125,135,145
40,Female,0,60,70,80,90,100,110,120,130,140,150
45,Female,0,65,75,85,95,105,115,125,135,145,155
